Direction,Twist,Wedge,LankasTTcompliance,LankasRRCompliance
1.004067109,0.612610567,0.022756309,0.685838481,1.135281571
-0.35877067,0.553269373,0.029824199,0.649126932,0.999217862
0.262119841,0.567232007,0.074089175,0.719113664,1.175291494
0,0.520108117,0.017453293,0.660374181,0.980849887
-0.019605331,0.610865238,0.089028901,0.970149706,1.449952007
0.139095941,0.574213324,0.088117524,0.644423114,1.1070173
0,0.600393263,0.095993109,0.959680465,1.743733132
-0.262119841,0.567232007,0.074089175,0.719113664,1.175291494
0.668289419,0.619591884,0.042249948,0.680589717,1.264413124
0,0.588175958,0.020943951,0.673715074,0.970149706
-0.139095941,0.574213324,0.088117524,0.644423114,1.1070173
0.35877067,0.553269373,0.029824199,0.649126932,0.999217862
0,0.65275314,0.043633231,1.088943548,1.961699774
-0.668289419,0.619591884,0.042249948,0.680589717,1.264413124
0.019605331,0.610865238,0.089028901,0.970149706,1.449952007
-1.004067109,0.612610567,0.022756309,0.685838481,1.135281571
